Date,Reference,Description,Card Member,Card Number,Amount,Category,Type,Appears On Your Statement As,Address,Phone Number,Website,Additional Information
8/16/19,,QFC,,,10.8,Merchandise & Supplies-Groceries,DEBIT,QFC                 SEATTLE             WA,,,,
8/15/19,,Trader Joe's,,,46.44,Merchandise & Supplies-Groceries,DEBIT,TRADER JOE'S #137  QSEATTLE             WA,,,,
8/14/19,,MANAO THAI RESTAURANT,,,32.77,Restaurant-Restaurant,DEBIT,MANAO THAI RESTAURANSEATTLE             WA,,,,
8/14/19,,SHELL OIL 5744403250MERCER ISLAND       WA,,,14.11,Transportation-Fuel,DEBIT,SHELL OIL 5744403250MERCER ISLAND       WA,,,,
8/12/19,,SEATTLE BOULDERING PRO,,,19.82,Entertainment-Associations,DEBIT,SEATTLE BOULDERING PSEATTLE             WA,,,,
8/11/19,,SEA WOLF LLC,,,5.5,Merchandise & Supplies-Groceries,DEBIT,SEA WOLF LLC        Seattle             WA,,,,
8/10/19,,DIN TAI FUNG RESTAURANT,,,73.71,Restaurant-Restaurant,DEBIT,DIN TAI FUNG RESTAURSEATTLE             WA,,,,
8/9/19,,QFC,,,38.52,Merchandise & Supplies-Groceries,DEBIT,QFC                 SEATTLE             WA,,,,
8/9/19,,QFC,,,43.49,Merchandise & Supplies-Groceries,DEBIT,QFC                 SEATTLE             WA,,,,
8/9/19,,UW HUB GAMES AREA,,,11.01,Other-Education,DEBIT,UW HUB GAMES AREA 00SEATTLE             WA,,,,
8/8/19,,QFC,,,23.39,Merchandise & Supplies-Groceries,DEBIT,QFC                 SEATTLE             WA,,,,
8/8/19,,SALT & STRAW ICE CREAM,,,7.88,Restaurant-Restaurant,DEBIT,SALT & STRAW ICE CRESeattle             WA,,,,
8/7/19,,COUNTERBALANCE BICYCLE,,,366.05,Merchandise & Supplies-Sporting Goods Stores,DEBIT,COUNTERBALANCE BICYCSEATTLE             WA,,,,
8/7/19,,Trader Joe's,,,17.21,Merchandise & Supplies-Groceries,DEBIT,TRADER JOE'S #137  QSEATTLE             WA,,,,
8/6/19,,Office Depot,,,55.04,Business Services-Office Supplies,DEBIT,OFFICE DEPOT #956 00SEATTLE             WA,,,,
8/5/19,,COMCAST BELLINGHAM CS 1X,,,25,Communications-Cable & Internet Comm,DEBIT,COMCAST BELLINGHAM C(800)266-2278       WA,,,,
8/2/19,,QFC,,,7.23,Merchandise & Supplies-Groceries,DEBIT,QFC #5839 000005839 MERCER ISLAND       WA,,,,
7/31/19,,QFC,,,28,Merchandise & Supplies-Groceries,DEBIT,QFC                 SEATTLE             WA,,,,
7/30/19,,HARDWICK & SONS,,,6.8,Merchandise & Supplies-Hardware Supplies,DEBIT,HARDWICKS AND SONS ISEATTLE             WA,,,,
7/29/19,,QFC,,,14.47,Merchandise & Supplies-Groceries,DEBIT,QFC                 SEATTLE             WA,,,,
7/27/19,,FREMONT BOWL,,,31.22,Restaurant-Restaurant,DEBIT,FREMONT BOWL        SEATTLE             WA,,,,
7/27/19,,MAMI TRAN,,,9.81,Restaurant-Restaurant,DEBIT,MAMI TRAN           Bellevue            WA,,,,
7/23/19,,QFC,,,25.91,Merchandise & Supplies-Groceries,DEBIT,QFC                 SEATTLE             WA,,,,
7/21/19,,QFC,,,9.76,Merchandise & Supplies-Groceries,DEBIT,QFC                 SEATTLE             WA,,,,
7/20/19,,QFC,,,13.2,Merchandise & Supplies-Groceries,DEBIT,QFC                 SEATTLE             WA,,,,
